"","Gene.Names","Entry","phytoID","phytoAnnotation","Protein.names","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","WT 32C vs WT 20C (mean)","WT 32C vs WT 20C (lfc)","WT 32C vs WT 20C (padj)","TS 32C vs TS 20C (mean)","TS 32C vs TS 20C (lfc)","TS 32C vs TS 20C (padj)","TS 20C vs WT 20C (mean)","TS 20C vs WT 20C (lfc)","TS 20C vs WT 20C (padj)","TS 32C vs WT 32C (mean)","TS 32C vs WT 32C (lfc)","TS 32C vs WT 32C (padj)"
"Pp3c8_9230","PHYPA_011326","A9RGT5","Pp3c8_9230","(1 of 6) PTHR11527:SF158 - 17.6 KDA CLASS I HEAT SHOCK PROTEIN 1-RELATED","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",591.159255558133,5.55842230981679,4.86853829848065e-130,557.506108293934,5.90321894971231,2.63776141669307e-90,21.476893543954,-0.00239349523491036,0.999993322508911,1111.378549494,-0.0332146011340658,0.903026533519237
"Pp3c11_14810","PHYPA_015036","A9RIP2","Pp3c11_14810","(1 of 2) PTHR11527//PTHR11527:SF149 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",269.274050229833,4.77009954925616,1.27929144144349e-45,163.649883910631,5.38742759901594,7.66564745555243e-31,13.1625546593444,-0.00443082927234843,0.902587942236407,412.982211223588,-0.427539718158617,0.113493433538603
"Pp3c16_4660","PHYPA_020466","A9RLL2","Pp3c16_4660","(1 of 3) PTHR11353:SF8 - CHAPERONIN 60 SUBUNIT BETA 1, CHLOROPLASTIC-RELATED","RuBisCO large subunit-binding protein subunit beta, chloroplastic","GO:0005524; GO:0006457; GO:0042026; GO:0140662","protein folding [GO:0006457]; protein refolding [GO:0042026]","","ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; protein folding [GO:0006457]; protein refolding [GO:0042026]","ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]",4924.88328885201,2.34038912807666,2.40216617739235e-59,4093.63004145377,1.29182180488128,6.0556703825796e-05,1950.70567879363,0.00994102576858896,0.999993322508911,6983.53558380246,-0.317441138662007,0.12775995874966
"Pp3c24_4390","PHYPA_028611","A9RN10","Pp3c24_4390","(1 of 13) PTHR11527:SF172 - 17.6 KDA CLASS I HEAT SHOCK PROTEIN 2","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",110.852627235607,3.88308937267577,2.88727646073775e-32,152.952725210355,4.47352230174015,1.23440776034158e-20,13.2788241603169,-0.00056402923591291,0.999993322508911,247.603544531694,0.162419364097684,0.423651656083407
"Pp3c12_18980","PHYPA_016480","A9S3V0","Pp3c12_18980","(1 of 3) PTHR11071:SF259 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE CYP40","PPIase cyclophilin-type domain-containing protein","GO:0000413; GO:0003755; GO:0005737; GO:0006457; GO:0016018","protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]","cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]",291.854696757977,1.32435177059958,3.25460508381851e-12,226.269370011303,0.876841397403838,0.00271384451275152,158.885090330136,-0.0014781591045982,0.999993322508911,355.619444783463,-0.336734287305336,0.0975589319285206
"Pp3c9_15400","PHYPA_012748","A9SH81","Pp3c9_15400","(1 of 2) PTHR13009:SF8 - AHSA1 PROTEIN","Activator of Hsp90 ATPase AHSA1-like N-terminal domain-containing protein","GO:0001671; GO:0005829; GO:0006457; GO:0032781; GO:0051087","positive regulation of ATP-dependent activity [GO:0032781]; protein folding [GO:0006457]","cytosol [GO:0005829]","cytosol [GO:0005829]; ATPase activator activity [GO:0001671]; protein-folding chaperone binding [GO:0051087]; positive regulation of ATP-dependent activity [GO:0032781]; protein folding [GO:0006457]","ATPase activator activity [GO:0001671]; protein-folding chaperone binding [GO:0051087]",1591.57272284945,1.58144064254058,3.32514101617477e-33,1491.2119186394,1.38392136918522,2.46088399076365e-11,808.552680884905,0.00230772063448949,0.999993322508911,2251.74494919052,-0.063287059756981,0.812305171340695
"Pp3c21_19080","PHYPA_026378","A9SJI0","Pp3c21_19080","(1 of 13) PTHR11527:SF172 - 17.6 KDA CLASS I HEAT SHOCK PROTEIN 2","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",1716.9641270499,4.78960950196399,2.51374263922688e-202,1543.929844163,4.76493141664948,1.30065553774461e-99,115.164197312154,-0.00269517424444687,0.999993322508911,3101.71730227852,-0.0766778700973009,0.758036828161137
"Pp3c17_10780","PHYPA_021904","A9SQV2","Pp3c17_10780","(1 of 6) PTHR11527:SF158 - 17.6 KDA CLASS I HEAT SHOCK PROTEIN 1-RELATED","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",271.291154707304,6.05171557856298,4.44186622057203e-58,467.264014864233,8.06338593608109,9.62348001313927e-54,5.83081241256956,-0.00196425361903156,0.999993322508911,724.682426431133,0.731797185409745,0.00129758013417676
"Pp3c14_3360","PHYPA_017946","A9SVT7","Pp3c14_3360","(1 of 3) PTHR11528:SF45 - ENDOPLASMIN HOMOLOG","Histidine kinase/HSP90-like ATPase domain-containing protein","GO:0005524; GO:0006457; GO:0016887; GO:0051082; GO:0140662","protein folding [GO:0006457]","","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]",5948.52632637934,1.479916706045,1.00448517173818e-24,4554.32740668142,1.00271496234465,3.3856961931157e-14,3089.81779377252,-0.00174361327468912,0.999993322508911,7333.9071894268,-0.441445870750709,0.00285090889314569
"Pp3c25_14630","PHYPA_029959","A9SWK2","Pp3c25_14630","(1 of 1) PTHR11527:SF110 - 17.4 KDA CLASS I HEAT SHOCK PROTEIN-RELATED","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",402.407292692969,5.07183628642353,5.06946319176694e-87,414.423278746248,5.71357939947999,4.58855424221397e-78,19.3654989876252,-0.00313956814531469,0.999993322508911,786.797228590352,0.0516564876763773,0.8527753159372
"Pp3c16_7110","PHYPA_020595","A9TAL4","Pp3c16_7110","(1 of 13) PTHR11527:SF172 - 17.6 KDA CLASS I HEAT SHOCK PROTEIN 2","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",713.603651855,7.53883233129605,1.80958407985187e-104,911.553845813278,9.7608690554182,2.75856238224701e-53,4.96086548569303,-0.00262362783959547,0.999993322508911,1599.73946743429,0.300884985099517,0.111998194301865
"Pp3c9_6640","PHYPA_012382","A9TFM2","Pp3c9_6640","(1 of 17) PTHR11528 - HEAT SHOCK PROTEIN 90","Histidine kinase/HSP90-like ATPase domain-containing protein","GO:0005524; GO:0005829; GO:0005886; GO:0006457; GO:0016887; GO:0032991; GO:0034605; GO:0048471; GO:0050821; GO:0051082; GO:0140662","cellular response to heat [GO:0034605]; protein folding [GO:0006457]; protein stabilization [GO:0050821]","cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]","cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; cellular response to heat [GO:0034605]; protein folding [GO:0006457]; protein stabilization [GO:0050821]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]",826.285302057542,1.07270995115236,1.0966137998238e-06,575.642327048296,0.375801534773188,0.100597699396005,508.255071117013,-0.00183496157457791,0.999993322508911,885.161466445721,-0.679092487210111,0.000151349111094052
"Pp3c27_5110","PHYPA_030952","A9TNZ2","Pp3c27_5110","(1 of 3) PTHR11353:SF8 - CHAPERONIN 60 SUBUNIT BETA 1, CHLOROPLASTIC-RELATED","RuBisCO large subunit-binding protein subunit beta, chloroplastic","GO:0005524; GO:0006457; GO:0042026; GO:0140662","protein folding [GO:0006457]; protein refolding [GO:0042026]","","ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; protein folding [GO:0006457]; protein refolding [GO:0042026]","ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]",5301.60202495249,2.17760203645879,4.81307185320106e-59,5046.03538422784,1.54031571358541,2.03852121734337e-06,2203.96299241905,0.00641552815040577,0.999993322508911,8054.13371054993,-0.104730480249699,0.644275686787011
"Pp3c5_13280","PHYPA_007615","A9TWQ2","Pp3c5_13280","(1 of 3) KOG3591 - Alpha crystallins","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",806.280111808782,3.35832762227835,4.26475330970479e-55,1098.89463861737,3.37046088123533,3.62315674756033e-25,166.440115741089,0.00689005026125896,0.999993322508911,1719.2964635893,0.255770570671949,0.272549224423783
"Pp3c12_24560","PHYPA_016703","A9TYH4","Pp3c12_24560","(1 of 13) PTHR11527:SF172 - 17.6 KDA CLASS I HEAT SHOCK PROTEIN 2","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",3934.8762315658,5.53575446995961,8.42461355109188e-217,4822.19124891783,5.50556468037203,2.50843797408709e-73,186.324743313238,0.00841932481999114,0.999993322508911,8461.97730172327,0.250557675909177,0.155650550349878
"Pp3c15_21400","PHYPA_020027","A9U2Z8","Pp3c15_21400","(1 of 2) PTHR13009:SF8 - AHSA1 PROTEIN","Activator of Hsp90 ATPase AHSA1-like N-terminal domain-containing protein","GO:0001671; GO:0005829; GO:0006457; GO:0032781; GO:0051087","positive regulation of ATP-dependent activity [GO:0032781]; protein folding [GO:0006457]","cytosol [GO:0005829]","cytosol [GO:0005829]; ATPase activator activity [GO:0001671]; protein-folding chaperone binding [GO:0051087]; positive regulation of ATP-dependent activity [GO:0032781]; protein folding [GO:0006457]","ATPase activator activity [GO:0001671]; protein-folding chaperone binding [GO:0051087]",688.493684252353,1.3263280203545,1.60327239641326e-15,599.959708313989,1.09073276706327,8.63512630467158e-08,384.943572244109,-0.00126505841504813,0.999993322508911,894.927512733062,-0.151712851223688,0.468418895304652
"Pp3c26_10790","PHYPA_030482","A0A2K1ICK5","Pp3c26_10790","(1 of 15) PTHR31161:SF2 - SEC1/MUNC18-LIKE (SM) FAMILY PROTEIN","BAG domain-containing protein","GO:0006457; GO:0051087","protein folding [GO:0006457]","","protein-folding chaperone binding [GO:0051087]; protein folding [GO:0006457]","protein-folding chaperone binding [GO:0051087]",1025.66189266873,1.47695446169281,4.96409494064838e-13,1243.12504616126,1.58627823533077,5.04722144699143e-20,577.679485936617,0.00868578104025689,0.999993322508911,1676.83735122847,0.227027923794907,0.270204809314496
"Pp3c24_12180","PHYPA_028962","A0A2K1IGG6","Pp3c24_12180","(1 of 3) PTHR11353:SF11 - CHAPERONIN 60 SUBUNIT ALPHA 1, CHLOROPLASTIC","RuBisCO large subunit-binding protein subunit alpha, chloroplastic","GO:0005524; GO:0006457; GO:0042026; GO:0140662","protein folding [GO:0006457]; protein refolding [GO:0042026]","","ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; protein folding [GO:0006457]; protein refolding [GO:0042026]","ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]",7465.58502823791,1.83659962078357,9.01957431986271e-34,6534.10002206509,1.04145692841127,0.000913868936489253,3672.7901250319,0.00607674543500483,0.999993322508911,10218.3252778241,-0.250638153166348,0.190372678012812
